number	madison_aquarium	madison_feynman_pond	madison_rain_barrel	madison_riva_pond	taxonomy
1	0.00065	0.0077	0.0068	0.01195	Candidatus Solibacter usitatus
2	0.00032	0.01587	0.01176	0.02621	Luteitalea pratensis
3	0.00161	0	0	0	Mycobacterium dioxanotrophicus
4	0.00065	0	0	0	Candidatus Aquiluna sp. UB-MaderosW2red
5	0.00032	0	0	0	Microbacterium sp. ABRD_28
6	0.00016	0.00063	0	0	Tropheryma whipplei
7	0.00032	0.00267	0	0.00116	Actinobacteria bacterium IMCC26256
8	0.00032	0.00016	0.00261	0	Prevotella ruminicola
9	0.00032	0	0	0	Alistipes finegoldii
10	0.00032	0	0	0	Mucinivorans hirudinis
11	0.00048	0.00126	0	0.01272	Flavisolibacter sp. 17J28-1
12	0.01485	0.00157	0.01203	0.00193	Flavisolibacter tropicus
13	0.00016	0.00094	0.00026	0.07363	Niabella soli
14	0.00016	0.00141	0	0.00964	Pseudobacter ginsenosidimutans
15	0.00065	0	0	0	Arcticibacterium luteifluviistationis
16	0.00032	0	0	0.03392	Dyadobacter fermentans
17	0.00581	0	0	0	Leadbetterella byssophila
18	0.00032	0.00691	0.01307	0	Pseudarcicella sp. HME7025
19	0.00888	0	0.00026	0	Runella sp. SP2
20	0.0021	0.01775	0	0	Chryseolinea sp. KIS68-18
21	0.02178	0	0	0	Cytophagales bacterium TFI 002
22	0.00032	0	0	0	Flavobacterium album
23	0.00742	0	0	0.00655	Flavobacterium columnare
24	0.00048	0	0	0	Formosa sp. Hel3_A1_48
25	0.00032	0	0	0.00116	Ornithobacterium rhinotracheale
26	0.00242	0.02498	0	0	Haliscomenobacter hydrossis
27	0.01646	0.00487	0	0	Mucilaginibacter mallensis
28	0.00016	0.00031	0.00078	0	Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20
29	0.00032	0.00298	0	0.0054	Caldilinea aerophila
30	0.00065	0.0011	0.00392	0	Synechococcus sp. PCC 7336
31	0.00016	0	0	0	Natranaerobius thermophilus
32	0.00016	0.00141	0.00549	0	Gemmatirosa kalamazoonesis
33	0.00032	0.01351	0.00288	0	Nitrospira japonica
34	0.00016	0.00079	0	0.00154	Pirellula staleyi
35	0.00016	0	0	0.00039	Planctomycetes bacterium HG15A2
36	0.00065	0	0	0	Planctomycetes bacterium Pan181
37	0.00016	0.00031	0.00078	0.0027	Planctomycetes bacterium Pan265
38	0.00016	0	0	0.00077	Planctomycetes bacterium Pla110
39	0.00016	0	0	0	Planctomycetes bacterium Pla163
40	0.00016	0.00267	0	0.01195	Planctomycetes bacterium Q31a
41	0.00274	0.00079	0	0.00039	Planctomycetes bacterium V22
42	0.00065	0.0011	0	0.00463	Phenylobacterium sp. HYN0004
43	0.00016	0.00047	0.00157	0.00077	Phenylobacterium zucineum
44	0.00533	0.00016	0.00078	0.00039	Candidatus Paracaedibacter acanthamoebae
45	0.00032	0	0	0	alpha proteobacterium HIMB59
46	0.00016	0.00047	0.00052	0.0054	Rhodopseudomonas palustris
