Sample                          bsubtilis-v3v4_reads.sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         348730
MappedFraction                  1
#MappedRead1                    348730
#MappedRead2                    0
RatioMapped2vsMapped1           0
#MappedForward                  348730
MappedForwardFraction           1
#MappedReverse                  0
MappedReverseFraction           0
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          0
#MappedPairs                    0
MappedPairsFraction             0
#MappedSameChr                  0
MappedSameChrFraction           0
#MappedProperPair               0
MappedProperFraction            0
#ReferenceBp                    7790
#ReferenceNs                    0
#AlignedBases                   155185933
#MatchedBases                   154024069
MatchRate                       0.992513
#MismatchedBases                1161864
MismatchRate                    0.00748692
#DeletionsCigarD                12987
DeletionRate                    8.36867e-05
HomopolymerContextDel           0.275044
#InsertionsCigarI               4835
InsertionRate                   3.11562e-05
HomopolymerContextIns           0.22606
#SoftClippedBases               0
SoftClipRate                    0
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00760176
MedianReadLength                445
DefaultLibraryLayout            0
MedianInsertSize                0
MedianCoverage                  0
SDCoverage                      46986.5
CoveredBp                       2340
FractionCovered                 0.300385
BpCov1ToCovNRatio               0.00042735
BpCov1ToCov2Ratio               inf
MedianMAPQ                      1
