Sample                          bsubtilis.sorted
Library                         DefaultLib
#QCFail                         0
QCFailFraction                  0
#DuplicateMarked                0
DuplicateFraction               0
#Unmapped                       0
UnmappedFraction                0
#Mapped                         5692
MappedFraction                  1
#MappedRead1                    5692
#MappedRead2                    0
RatioMapped2vsMapped1           0
#MappedForward                  5692
MappedForwardFraction           1
#MappedReverse                  0
MappedReverseFraction           0
#SecondaryAlignments            0
SecondaryAlignmentFraction      0
#SupplementaryAlignments        0
SupplementaryAlignmentFraction  0
#SplicedAlignments              0
SplicedAlignmentFraction        0
#Pairs                          0
#MappedPairs                    0
MappedPairsFraction             0
#MappedSameChr                  0
MappedSameChrFraction           0
#MappedProperPair               0
MappedProperFraction            0
#ReferenceBp                    7790
#ReferenceNs                    0
#AlignedBases                   8378577
#MatchedBases                   8376886
MatchRate                       0.999798
#MismatchedBases                1691
MismatchRate                    0.000201824
#DeletionsCigarD                20
DeletionRate                    2.38704e-06
HomopolymerContextDel           0.3
#InsertionsCigarI               18
InsertionRate                   2.14834e-06
HomopolymerContextIns           0.333333
#SoftClippedBases               0
SoftClipRate                    0
#HardClippedBases               0
HardClipRate                    0
ErrorRate                       0.00020636
MedianReadLength                1472
DefaultLibraryLayout            0
MedianInsertSize                0
MedianCoverage                  617
SDCoverage                      10265.5
CoveredBp                       7360
FractionCovered                 0.944801
BpCov1ToCovNRatio               0
BpCov1ToCov2Ratio               -nan
MedianMAPQ                      6
